,playerID,FPCT,POS,G,SH,OBP,AB/G,HR/G,SB/G,RBI/G,IBB/G,SF/G,debut,finalGame,weight,servingDays,debutAge,inducted
0,aaronha01,0.9791241793404567,OF,3298,21.0,0.3739492779653711,3.748938750758035,0.22892662219526985,0.07277137659187387,0.6964827167980594,0.08884172225591268,0.03668890236506974,1954-04-13,1976-10-03,180.0,8209.0,20.293150684931508,Y
1,aaronto01,0.9827051506368394,1B,437,9.0,0.2915057915057915,2.160183066361556,0.029748283752860413,0.020594965675057208,0.2151029748283753,0.006864988558352402,0.013729977116704805,1962-04-10,1971-09-26,190.0,3456.0,23.28767123287671,N
2,aasedo01,0.9553985226050004,P,448,0.0,0.0,0.011160714285714286,0.0,0.0,0.0,0.0,0.0,1977-07-26,1990-10-03,190.0,4817.0,23.58082191780822,N
3,abadan01,0.9864864864864865,1B,15,0.0,0.24,1.4,0.0,0.0,0.0,0.0,0.0,2001-09-10,2006-04-13,184.0,1676.0,29.71232876712329,N
4,abbotje01,0.9752084081495846,OF,233,5.0,0.30745341614906835,2.5579399141630903,0.07725321888412018,0.02575107296137339,0.3562231759656652,0.008583690987124463,0.030042918454935622,1997-06-10,2001-09-29,190.0,1572.0,25.457534246575342,N
5,abbotji01,0.9793317375466472,P,263,3.0,0.09523809523809523,0.07984790874524715,0.0,0.0,0.011406844106463879,0.0,0.0,1989-04-08,1999-07-21,200.0,3756.0,22.28219178082192,N
6,abbotku01,0.9550279876515567,SS,702,21.0,0.30507706255666367,2.9116809116809117,0.08831908831908832,0.03133903133903134,0.34472934472934474,0.01566951566951567,0.017094017094017096,1993-09-07,2001-04-13,180.0,2775.0,24.698630136986303,N
7,abbotky01,0.96875,P,57,6.0,0.125,0.543859649122807,0.0,0.0,0.03508771929824561,0.0,0.0,1991-09-10,1996-08-24,200.0,1810.0,23.706849315068492,N
8,abbotpa01,0.9473958333333333,P,162,5.0,0.25,0.12345679012345678,0.0,0.0,0.012345679012345678,0.0,0.0,1990-08-21,2004-08-07,185.0,5100.0,23.65205479452055,N
9,aberal01,0.9685019841269842,P,168,8.0,0.2018348623853211,0.5952380952380952,0.0,0.0,0.03571428571428571,0.0,0.005952380952380952,1950-09-15,1957-09-11,195.0,2553.0,23.720547945205478,N
10,abercre01,0.9856510236945019,OF,180,5.0,0.27403846153846156,2.1444444444444444,0.05,0.1,0.18888888888888888,0.011111111111111112,0.011111111111111112,2006-04-04,2008-09-28,215.0,908.0,26.273972602739725,N
11,abernbr01,0.9656948480886858,2B,232,16.0,0.2971246006389776,3.7413793103448274,0.034482758620689655,0.09051724137931035,0.34051724137931033,0.004310344827586207,0.017241379310344827,2001-06-25,2005-09-29,185.0,1557.0,24.495890410958904,N
12,abernte01,0.9166666666666667,P,7,0.0,0.3333333333333333,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,1942-09-19,1944-04-29,210.0,588.0,21.72876712328767,N
13,abernte02,0.9555544127399245,P,681,15.0,0.1746031746031746,0.2657856093979442,0.0,0.0,0.013215859030837005,0.0,0.0,1955-04-13,1972-09-30,215.0,6380.0,22.293150684931508,N
14,abernwo01,1.0,P,16,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1946-07-28,1947-04-17,170.0,263.0,31.59178082191781,N
15,aberscl01,0.9288888888888889,OF,63,0.0,0.3431372549019608,2.8412698412698414,0.07936507936507936,0.0,0.4126984126984127,0.0,0.0,1947-07-18,1949-05-09,200.0,661.0,26.55890410958904,N
16,abnersh01,0.9856130224551277,OF,392,5.0,0.2686733556298774,2.142857142857143,0.02806122448979592,0.015306122448979591,0.18112244897959184,0.025510204081632654,0.017857142857142856,1987-09-08,1992-10-03,190.0,1852.0,21.698630136986303,N
17,abramca01,0.9680230327408172,OF,567,16.0,0.3862928348909657,2.8412698412698414,0.0564373897707231,0.021164021164021163,0.24338624338624337,0.003527336860670194,0.007054673721340388,1949-04-19,1956-05-09,185.0,2577.0,25.315068493150687,N
18,abregjo01,0.875,P,6,0.0,0.0,1.5,0.0,0.0,0.16666666666666666,0.0,0.0,1985-09-04,1985-10-03,185.0,29.0,23.69041095890411,N
19,abreujo01,0.9411764705882353,3B,9,0.0,0.3125,3.111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,1942-04-23,1942-07-11,160.0,79.0,29.326027397260273,N
20,abreuwi01,1.0,P,38,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,2006-08-06,2009-07-25,170.0,1084.0,29.613698630136987,N
21,accarje01,0.9814814814814815,P,262,0.0,0.14285714285714285,0.026717557251908396,0.0,0.0,0.0,0.0,0.0,2005-05-04,2012-09-27,195.0,2703.0,24.353424657534248,N
22,acevejo01,1.0,P,104,12.0,0.12962962962962962,0.9711538461538461,0.0,0.0,0.038461538461538464,0.0,0.009615384615384616,2001-06-19,2005-09-29,185.0,1563.0,24.47945205479452,N
23,aceveju01,0.9213434065934066,P,367,6.0,0.1323529411764706,0.1771117166212534,0.0,0.0,0.0,0.0,0.0,1995-04-30,2003-08-05,245.0,3019.0,25.34246575342466,N
24,ackerji01,0.9878472222222222,P,467,0.0,0.19642857142857142,0.11563169164882227,0.0,0.0,0.0021413276231263384,0.0,0.0,1983-04-07,1992-06-14,210.0,3356.0,25.279452054794522,N
25,ackerto01,0.984375,P,153,6.0,0.2,0.5032679738562091,0.0,0.0,0.013071895424836602,0.0,0.0,1956-04-20,1959-09-20,215.0,1248.0,26.317808219178083,N
