,playerID,ERA,WHIP,W-L,G,debut,finalGame,weight,servingDays,debutAge,inducted
1974,kurtzha01,5.21,1.3684210526315788,1.0,30,1968-04-18,1968-08-12,205.0,116.0,25.312328767123287,N
1975,kutynma01,2.9875,1.410344827586207,0.4666666666666667,159,1959-09-19,1962-09-22,190.0,1099.0,27.734246575342464,N
1976,kutzlje01,6.03,1.6595744680851063,0.6666666666666666,7,1990-04-28,1990-05-31,175.0,33.0,25.336986301369862,N
1977,kuwatma01,9.43,1.9047619047619047,0.0,19,2007-06-10,2007-08-13,185.0,64.0,39.465753424657535,N
1978,kuzavbo01,4.589333333333333,1.4663573085846866,0.5268817204301076,214,1946-09-21,1957-09-29,202.0,4026.0,23.736986301369864,N
1979,labincl01,4.281999999999999,1.332818771225687,0.5789473684210527,514,1950-04-18,1962-04-24,180.0,4389.0,24.30958904109589,N
1980,laceybo01,5.06125,1.33801775147929,0.40816326530612246,284,1977-05-13,1984-09-26,210.0,2693.0,24.378082191780823,N
1981,lachema01,20.243333333333336,1.3823529411764706,0.6363636363636364,70,1969-06-04,1971-04-25,185.0,690.0,28.44109589041096,N
1982,lachoal01,2.25,1.375,0.0,2,1983-09-13,1983-10-02,198.0,19.0,23.715068493150685,N
1983,lacorfr01,5.540909090909091,1.459183673469388,0.34328358208955223,255,1975-09-08,1984-09-24,180.0,3304.0,24.7013698630137,N
1984,lacosmi01,4.313571428571429,1.4433799578463307,0.48756218905472637,416,1978-07-18,1991-07-02,185.0,4732.0,22.55890410958904,N
1985,lacyke01,4.745,1.863905325443787,0.75,44,1996-08-16,1997-08-21,195.0,370.0,24.64109589041096,N
1986,laddpe01,3.8433333333333333,1.2926829268292683,0.425,205,1979-08-17,1986-10-03,228.0,2604.0,23.64109589041096,N
1987,ladedo01,4.362,1.4962779156327546,0.4629629629629629,127,1946-09-18,1950-09-29,183.0,1472.0,25.72876712328767,N
1988,lagrole01,4.278181818181817,1.4454428754813864,0.3820224719101124,309,1970-07-28,1980-07-14,220.0,3639.0,22.586301369863012,N
1989,lahtije01,2.5060000000000002,1.2692307692307692,0.6071428571428572,205,1982-06-27,1986-04-24,180.0,1397.0,26.504109589041096,N
1990,lamabja01,4.114999999999999,1.3925058548009368,0.44594594594594594,285,1962-04-17,1968-09-22,198.0,2350.0,26.30958904109589,N
1991,lamacal01,9.032499999999999,1.6956521739130435,0.5,16,1943-09-27,1946-06-29,190.0,1006.0,22.75068493150685,N
1992,lambech01,8.423333333333332,1.9696969696969697,0.25,14,2008-08-26,2009-09-27,205.0,397.0,25.66849315068493,N
1993,lambecl01,10.075,1.4742857142857142,0.5,26,1946-04-22,1947-04-30,185.0,373.0,29.323287671232876,N
1994,lambjo01,2.9499999999999997,1.3115577889447236,0.0,47,1970-08-12,1973-09-21,180.0,1136.0,24.627397260273973,N
1995,lambra01,3.3259999999999996,1.3938679245283019,0.46511627906976744,154,1969-08-01,1973-09-28,170.0,1519.0,25.6,N
1996,lampde01,4.170624999999999,1.3787327021121631,0.5,639,1977-08-21,1992-06-06,200.0,5403.0,25.654794520547945,N
1997,lancale01,3.9199999999999995,1.3870203694931311,0.5942028985507246,323,1987-04-07,1993-10-03,200.0,2371.0,25.279452054794522,N
1998,lancega01,4.5,2.0,0.0,1,1977-09-28,1977-09-28,195.0,0.0,29.76164383561644,N
1999,landibi01,3.415,1.4440078585461689,0.5294117647058824,106,1963-09-28,1969-09-30,178.0,2194.0,21.753424657534246,N
2000,landrbi01,4.4025,1.3394833948339484,0.5454545454545454,268,1986-08-31,1993-06-03,185.0,2468.0,29.682191780821917,N
2001,landrjo01,6.654999999999999,1.5447761194029852,0.25,16,1950-07-13,1952-09-11,180.0,791.0,22.545205479452054,N
2002,landrla01,6.865,2.3114754098360653,0.2,7,1976-09-16,1977-09-30,175.0,379.0,21.723287671232878,N
2003,laneje01,3.84,1.3914893617021278,0.25,31,1953-07-07,1955-05-08,205.0,670.0,27.53150684931507,N
